Período,Tipo de vehículo,Combustible,Unidades
2014,Camiones y furgonetas ,Gasolina,1131
2014,Autobuses ,Gasolina,0
2014,Motocicletas ,Gasóleo,3
2014,Otros vehículos ,Gasóleo,535
2014,Motocicletas ,Gasolina,5605
2014,Autobuses ,Gasóleo,113
2014,Remolques y semirremolques ,Gasóleo,0
2014,Otros vehículos ,Gasolina,186
2014,Camiones y furgonetas ,Gasóleo,33700
2014,Remolques y semirremolques ,Gasolina,0
2014,Tractores industriales ,Gasóleo,186
2014,Tractores industriales ,Gasolina,0
2014,Turismos ,Gasolina,25956
2014,Tractores industriales ,Resto de tipos de combustibles,0
2014,Camiones y furgonetas ,Resto de tipos de combustibles,180
2014,Motocicletas ,Resto de tipos de combustibles,28
2014,Otros vehículos ,Resto de tipos de combustibles,114
2014,Turismos ,Gasóleo,85096
2014,Autobuses ,Resto de tipos de combustibles,0
2014,Remolques y semirremolques ,Resto de tipos de combustibles,528
2014,Turismos ,Resto de tipos de combustibles,62
2015,Camiones y furgonetas ,Gasolina,1082
2015,Autobuses ,Gasolina,0
2015,Motocicletas ,Gasóleo,4
2015,Otros vehículos ,Gasóleo,532
2015,Motocicletas ,Gasolina,5757
2015,Autobuses ,Gasóleo,109
2015,Remolques y semirremolques ,Gasóleo,0
2015,Otros vehículos ,Gasolina,186
2015,Camiones y furgonetas ,Gasóleo,36203
2015,Remolques y semirremolques ,Gasolina,0
2015,Tractores industriales ,Gasóleo,220
2015,Tractores industriales ,Gasolina,0
2015,Turismos ,Gasolina,27047
2015,Tractores industriales ,Resto de tipos de combustibles,0
2015,Camiones y furgonetas ,Resto de tipos de combustibles,230
2015,Motocicletas ,Resto de tipos de combustibles,92
2015,Otros vehículos ,Resto de tipos de combustibles,128
2015,Turismos ,Gasóleo,93474
2015,Autobuses ,Resto de tipos de combustibles,0
2015,Remolques y semirremolques ,Resto de tipos de combustibles,533
2015,Turismos ,Resto de tipos de combustibles,131
2016,Camiones y furgonetas ,Gasolina,1029
